Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
BDS4,Chrome 126.0.0.0,,,14-06-2024 14:28:14,14-06-2024 14:28:59,44.845s,FAILED
,,,,,,,
Test Cases/BDS1/BDS2,Chrome 126.0.0.0,,,14-06-2024 14:28:48,14-06-2024 14:28:59,10.740s,FAILED
"openBrowser("""")",Chrome 126.0.0.0,,,14-06-2024 14:28:48,14-06-2024 14:28:50,2.068s,PASSED
"navigateToUrl(""https://www.bdu.ac.in/"")",Chrome 126.0.0.0,,,14-06-2024 14:28:50,14-06-2024 14:28:57,6.590s,PASSED
"click(findTestObject(""Object Repository/Page_Official Website of Bharathidasan Univ_f3d32a/button_Close""))",Chrome 126.0.0.0,,,14-06-2024 14:28:57,14-06-2024 14:28:57,0.562s,PASSED
"click(findTestObject(""Object Repository/Page_Official Website of Bharathidasan Univ_f3d32a/a_About BDU""))",Chrome 126.0.0.0,,,14-06-2024 14:28:57,14-06-2024 14:28:58,0.344s,PASSED
"click(findTestObject(""Object Repository/Page_Official Website of Bharathidasan Univ_f3d32a/a_About the University""))",Chrome 126.0.0.0,,,14-06-2024 14:28:58,14-06-2024 14:28:58,0.529s,PASSED
"click(findTestObject(""Object Repository/Page_Official Website of Bharathidasan Univ_f3d32a/a_Chancellor""))",Chrome 126.0.0.0,,,14-06-2024 14:28:58,14-06-2024 14:28:59,0.608s,FAILED
